Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_mapped,clean_text,tokens,tb_polarity,tb_subjectivity,tb_sentiment
13,13," New year, new fitness goals! 💪                    ", Positive  ,2023-01-18 18:00:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28.0,55.0, USA        ,2023,1,18,18,Positive,new year new fitness goal,"['new', 'year', 'new', 'fitness', 'goal']",0.15340909090909088,0.45454545454545453,Positive
14,14, Technology is changing the way we live.            , Neutral   ,2023-01-19 09:45:00, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15.0,30.0, India    ,2023,1,19,9,Neutral,technology changing way live,"['technology', 'changing', 'way', 'live']",0.13636363636363635,0.5,Positive
15,15, Reflecting on the past and looking ahead.          , Positive  ,2023-01-19 13:20:00, Reflections  , Facebook , #Reflection #Future                     ,20.0,40.0, USA      ,2023,1,19,13,Positive,reflecting past looking ahead,"['reflecting', 'past', 'looking', 'ahead']",-0.25,0.25,Negative
16,16, Just adopted a cute furry friend! 🐾              , Positive  ,2023-01-19 17:10:00, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15.0,30.0, Canada    ,2023,1,19,17,Positive,adopted cute furry friend,"['adopted', 'cute', 'furry', 'friend']",0.625,1.0,Positive
17,17, Late-night gaming session with friends.            , Positive  ,2023-01-20 00:05:00, GamerX       , Twitter  , #Gaming #LateNight                      ,18.0,35.0, UK       ,2023,1,20,0,Positive,latenight gaming session friend,"['latenight', 'gaming', 'session', 'friend']",0.0,0.0,Neutral
18,18, Attending a virtual conference on AI.              , Neutral   ,2023-01-20 11:30:00, TechConference, Facebook , #AI #TechConference                     ,25.0,50.0,USA,2023,1,20,11,Neutral,attending virtual conference,"['attending', 'virtual', 'conference']",0.0,0.0,Neutral
19,19, Winter blues got me feeling low.                   , Negative  ,2023-01-20 15:15:00, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8.0,15.0, USA       ,2023,1,20,15,Negative,winter blue got feeling low,"['winter', 'blue', 'got', 'feeling', 'low']",0.0,0.3,Neutral
20,20, Sipping coffee and enjoying a good book.           , Positive  ,2023-01-21 08:40:00, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22.0,45.0, India    ,2023,1,21,8,Positive,sipping coffee enjoying good book,"['sipping', 'coffee', 'enjoying', 'good', 'book']",0.6,0.6000000000000001,Positive
21,21, Exploring the world of virtual reality.            , Positive  ,2023-01-21 13:20:00, VRExplorer   , Facebook , #VR #VirtualReality                     ,15.0,30.0,USA,2023,1,21,13,Positive,exploring world virtual reality,"['exploring', 'world', 'virtual', 'reality']",0.0,0.0,Neutral
22,22, Productive day ticking off my to-do list.          , Positive  ,2023-01-21 16:45:00, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30.0,60.0, USA ,2023,1,21,16,Positive,productive day ticking todo list,"['productive', 'day', 'ticking', 'todo', 'list']",0.0,0.0,Neutral
23,23, Just finished a challenging workout routine.       , Positive  ,2023-01-22 09:15:00, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20.0,40.0, UK       ,2023,1,22,9,Positive,finished challenging workout routine,"['finished', 'challenging', 'workout', 'routine']",0.5,1.0,Positive
24,24, Celebrating a milestone at work! 🎉               , Positive  ,2023-01-22 14:30:00, CareerMilestone, Facebook , #Career #Milestone                      ,12.0,25.0, Canada  ,2023,1,22,14,Positive,celebrating milestone work,"['celebrating', 'milestone', 'work']",0.0,0.0,Neutral
25,25, Sunday brunch with friends.                        , Positive  ,2023-01-22 12:00:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15.0,30.0, UK ,2023,1,22,12,Positive,sunday brunch friend,"['sunday', 'brunch', 'friend']",0.0,0.0,Neutral
27,28, Learning a new language for personal growth.       , Positive  ,2023-01-23 16:20:00, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25.0,50.0, India     ,2023,1,23,16,Positive,learning new language personal growth,"['learning', 'new', 'language', 'personal', 'growth']",0.06818181818181818,0.37727272727272726,Positive
28,29, Quiet evening with a good book.                    , Positive  ,2023-01-23 19:45:00, BookLover    , Instagram , #Reading #QuietTime                     ,15.0,30.0, Australia ,2023,1,23,19,Positive,quiet evening good book,"['quiet', 'evening', 'good', 'book']",0.35,0.4666666666666667,Positive
29,30, Reflecting on the importance of mental health.     , Positive  ,2023-01-24 11:30:00, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22.0,45.0, USA      ,2023,1,24,11,Positive,reflecting importance mental health,"['reflecting', 'importance', 'mental', 'health']",-0.1,0.2,Negative
30,31, New painting in progress! 🎨                       , Positive  ,2023-01-24 15:00:00, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12.0,25.0, Canada ,2023,1,24,15,Positive,new painting progress,"['new', 'painting', 'progress']",0.17045454545454544,0.45454545454545453,Positive
31,32, Weekend road trip to explore scenic views.         , Positive  ,2023-01-24 17:30:00, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18.0,35.0, UK        ,2023,1,24,17,Positive,weekend road trip explore scenic view,"['weekend', 'road', 'trip', 'explore', 'scenic', 'view']",0.0,0.0,Neutral
32,33, Enjoying a cup of tea and watching the sunset.     , Positive  ,2023-01-25 18:00:00, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15.0,30.0, India    ,2023,1,25,18,Positive,enjoying cup tea watching sunset,"['enjoying', 'cup', 'tea', 'watching', 'sunset']",0.5,0.6,Positive
33,34, Coding a new project with enthusiasm.              , Positive  ,2023-01-25 13:15:00, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30.0,60.0, USA ,2023,1,25,13,Positive,coding new project enthusiasm,"['coding', 'new', 'project', 'enthusiasm']",0.13636363636363635,0.45454545454545453,Positive
34,35, Feeling inspired after attending a workshop.       , Positive  ,2023-01-26 09:45:00, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25.0,50.0,USA,2023,1,26,9,Positive,feeling inspired attending workshop,"['feeling', 'inspired', 'attending', 'workshop']",0.0,0.0,Neutral
35,36, Winter sports day at the local park.               , Positive  ,2023-01-26 14:20:00, WinterSports  , Twitter  , #WinterSports #Fun                     ,15.0,30.0, Canada   ,2023,1,26,14,Positive,winter sport day local park,"['winter', 'sport', 'day', 'local', 'park']",0.0,0.0,Neutral
36,37, Quality time with family this weekend.             , Positive  ,2023-01-26 17:40:00, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22.0,45.0, UK        ,2023,1,26,17,Positive,quality time family weekend,"['quality', 'time', 'family', 'weekend']",0.0,0.0,Neutral
37,38, Attending a live music concert tonight.            , Positive  ,2023-01-27 20:00:00, MusicLover   , Instagram , #Music #ConcertNight                  ,18.0,35.0, USA ,2023,1,27,20,Positive,attending live music concert tonight,"['attending', 'live', 'music', 'concert', 'tonight']",0.13636363636363635,0.5,Positive
38,39, Practicing mindfulness with meditation.            , Positive  ,2023-01-27 12:30:00, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15.0,30.0, India    ,2023,1,27,12,Positive,practicing mindfulness meditation,"['practicing', 'mindfulness', 'meditation']",0.0,0.0,Neutral
39,40, Trying out a new dessert recipe.                   , Positive  ,2023-01-27 16:10:00, DessertExplorer, Facebook , #Dessert #Cooking                      ,12.0,25.0, Canada ,2023,1,27,16,Positive,trying new dessert recipe,"['trying', 'new', 'dessert', 'recipe']",0.13636363636363635,0.45454545454545453,Positive
40,41, Excited about the upcoming gaming tournament.      , Positive  ,2023-01-28 09:00:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30.0,60.0,USA,2023,1,28,9,Positive,excited upcoming gaming tournament,"['excited', 'upcoming', 'gaming', 'tournament']",0.375,0.75,Positive
41,42, Planning a garden makeover for spring.             , Positive  ,2023-01-28 14:45:00, GardenPlanner , Twitter  , #Gardening #Spring                     ,25.0,50.0, USA      ,2023,1,28,14,Positive,planning garden makeover spring,"['planning', 'garden', 'makeover', 'spring']",0.0,0.0,Neutral
42,43, Celebrating a friend's birthday tonight! 🎂       , Positive  ,2023-01-28 19:30:00, BirthdayBash , Facebook , #Birthday #Celebration                  ,15.0,30.0, UK ,2023,1,28,19,Positive,celebrating friend birthday tonight,"['celebrating', 'friend', 'birthday', 'tonight']",0.0,0.0,Neutral
43,44, Feeling accomplished after a productive day.       , Positive  ,2023-01-29 17:00:00, ProductivityWin, Instagram , #Accomplished #Success               ,22.0,45.0, India ,2023,1,29,17,Positive,feeling accomplished productive day,"['feeling', 'accomplished', 'productive', 'day']",0.2,0.5,Positive
44,45, A cozy evening with a good movie.                 , Positive  ,2023-01-29 20:20:00, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18.0,35.0, Canada   ,2023,1,29,20,Positive,cozy evening good movie,"['cozy', 'evening', 'good', 'movie']",0.25,0.675,Positive
45,46, Exploring local art galleries this weekend.        , Positive  ,2023-01-30 11:30:00, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15.0,30.0, USA      ,2023,1,30,11,Positive,exploring local art gallery weekend,"['exploring', 'local', 'art', 'gallery', 'weekend']",0.0,0.0,Neutral
46,47, New book release from my favorite author!          , Positive  ,2023-01-30 15:45:00, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12.0,25.0, UK   ,2023,1,30,15,Positive,new book release favorite author,"['new', 'book', 'release', 'favorite', 'author']",0.3806818181818182,0.7272727272727273,Positive
47,48, Attending a virtual reality meetup.                , Positive  ,2023-01-30 18:30:00, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28.0,55.0, India    ,2023,1,30,18,Positive,attending virtual reality meetup,"['attending', 'virtual', 'reality', 'meetup']",0.0,0.0,Neutral
48,49, Reflecting on the beauty of nature.                , Positive  ,2023-01-31 10:45:00, NatureLover  , Facebook , #Nature #Reflection                     ,15.0,30.0, Australia ,2023,1,31,10,Positive,reflecting beauty nature,"['reflecting', 'beauty', 'nature']",0.0,0.0,Neutral
49,50, Cooking a special dinner for loved ones.           , Positive  ,2023-01-31 19:00:00, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20.0,40.0, USA       ,2023,1,31,19,Positive,cooking special dinner loved one,"['cooking', 'special', 'dinner', 'loved', 'one']",0.5285714285714286,0.6857142857142857,Positive
50,51, Feeling optimistic about the week ahead.           , Positive  ,2023-01-31 16:20:00, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15.0,30.0, Canada   ,2023,1,31,16,Positive,feeling optimistic week ahead,"['feeling', 'optimistic', 'week', 'ahead']",0.0,0.0,Neutral
51,52, Starting a new fitness challenge tomorrow! 💪     , Positive  ,2023-02-01 08:00:00, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22.0,45.0, UK         ,2023,2,1,8,Positive,starting new fitness challenge tomorrow,"['starting', 'new', 'fitness', 'challenge', 'tomorrow']",0.08522727272727272,0.2772727272727273,Positive
52,53, Sunday bike ride through scenic trails.           , Positive  ,2023-02-01 13:30:00, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18.0,35.0, USA     ,2023,2,1,13,Positive,sunday bike ride scenic trail,"['sunday', 'bike', 'ride', 'scenic', 'trail']",0.0,0.0,Neutral
53,55, Can't believe the injustice happening in our society., Anger        ,2023-02-11 09:30:00, SocialJustice   , Twitter  , #Injustice #Angry                            ,20.0,40.0, Canada     ,2023,2,11,9,Negative,cant believe injustice happening society,"['cant', 'believe', 'injustice', 'happening', 'society']",0.0,0.0,Neutral
54,56, Feeling a sense of fear after watching a thriller movie. , Fear         ,2023-02-11 21:15:00, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15.0,30.0, USA          ,2023,2,11,21,Negative,feeling sense fear watching thriller movie,"['feeling', 'sense', 'fear', 'watching', 'thriller', 'movie']",0.0,0.0,Neutral
55,57, Heartbroken after hearing the news about a natural disaster. , Sadness      ,2023-02-12 14:45:00, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25.0,50.0, India      ,2023,2,12,14,Negative,heartbroken hearing news natural disaster,"['heartbroken', 'hearing', 'news', 'natural', 'disaster']",0.1,0.4,Positive
56,58, The state of the world's environment is just disgusting. , Disgust      ,2023-02-12 18:20:00, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18.0,35.0, UK         ,2023,2,12,18,Negative,state world environment disgusting,"['state', 'world', 'environment', 'disgusting']",-1.0,1.0,Negative
57,59, Pure happiness: celebrating a loved one's achievement! , Happiness    ,2023-02-13 10:00:00, ProudFriend     , Instagram , #Happiness #Celebration                   ,30.0,60.0, USA ,2023,2,13,10,Neutral,pure happiness celebrating loved one achievement,"['pure', 'happiness', 'celebrating', 'loved', 'one', 'achievement']",0.5964285714285714,0.5,Positive
58,60, Laughter is the best medicine—enjoying a comedy show. , Joy          ,2023-02-13 19:30:00, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22.0,45.0, Canada    ,2023,2,13,19,Positive,laughter best medicineenjoying comedy show,"['laughter', 'best', 'medicineenjoying', 'comedy', 'show']",1.0,0.3,Positive
59,61, Sharing love and positive vibes with everyone! ❤️      , Love         ,2023-02-14 08:30:00, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,14,8,Positive,sharing love positive vibe everyone,"['sharing', 'love', 'positive', 'vibe', 'everyone']",0.39204545454545453,0.5727272727272728,Positive
60,62, An amusing incident brightened up my day!               , Amusement    ,2023-02-14 14:20:00, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18.0,35.0, UK           ,2023,2,14,14,Neutral,amusing incident brightened day,"['amusing', 'incident', 'brightened', 'day']",0.75,1.0,Positive
61,63, Enjoying a quiet evening with a book and some tea.      , Enjoyment    ,2023-02-14 19:45:00, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25.0,50.0, Canada       ,2023,2,14,19,Positive,enjoying quiet evening book tea,"['enjoying', 'quiet', 'evening', 'book', 'tea']",0.25,0.4666666666666667,Positive
62,64, Admiring the beauty of nature during a peaceful hike.   , Admiration   ,2023-02-15 11:30:00, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20.0,40.0, USA       ,2023,2,15,11,Positive,admiring beauty nature peaceful hike,"['admiring', 'beauty', 'nature', 'peaceful', 'hike']",0.25,0.5,Positive
63,65, Sending affectionate vibes to all my followers!          , Affection    ,2023-02-15 16:00:00, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15.0,30.0,USA,2023,2,15,16,Neutral,sending affectionate vibe follower,"['sending', 'affectionate', 'vibe', 'follower']",0.0,0.0,Neutral
64,66, Experiencing awe at the breathtaking sunset.            , Awe          ,2023-02-15 20:30:00, AweStruck       , Facebook , #Awe #Breathtaking                          ,22.0,45.0, Australia   ,2023,2,15,20,Neutral,experiencing awe breathtaking sunset,"['experiencing', 'awe', 'breathtaking', 'sunset']",1.0,1.0,Positive
65,67, Disappointed with the service at a local restaurant.    , Disappointed ,2023-02-16 09:00:00, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18.0,35.0, India      ,2023,2,16,9,Neutral,disappointed service local restaurant,"['disappointed', 'service', 'local', 'restaurant']",-0.375,0.375,Negative
66,68, A surprise gift from a friend made my day!              , Surprise     ,2023-02-16 14:45:00, HappySurprise   , Instagram , #Surprise #Gift                              ,25.0,50.0, USA          ,2023,2,16,14,Neutral,surprise gift friend made day,"['surprise', 'gift', 'friend', 'made', 'day']",0.0,0.0,Neutral
67,69, Finding acceptance in the midst of life's challenges.   , Acceptance   ,2023-02-16 18:20:00, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15.0,30.0, Canada     ,2023,2,16,18,Neutral,finding acceptance midst life challenge,"['finding', 'acceptance', 'midst', 'life', 'challenge']",0.0,0.0,Neutral
68,70, Overflowing with adoration for my adorable pet! 🐾      , Adoration    ,2023-02-17 10:45:00, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22.0,45.0, UK        ,2023,2,17,10,Neutral,overflowing adoration adorable pet,"['overflowing', 'adoration', 'adorable', 'pet']",0.625,1.0,Positive
69,71, Anticipating a thrilling adventure in the coming weeks. , Anticipation ,2023-02-17 07:30:00, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20.0,40.0,USA,2023,2,17,7,Neutral,anticipating thrilling adventure coming week,"['anticipating', 'thrilling', 'adventure', 'coming', 'week']",0.25,1.0,Positive
70,72, A bitter experience turned into a valuable lesson.      , Bitter       ,2023-02-17 15:00:00, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18.0,35.0, USA       ,2023,2,17,15,Neutral,bitter experience turned valuable lesson,"['bitter', 'experience', 'turned', 'valuable', 'lesson']",-0.1,0.5,Negative
71,73, Finding calmness in the midst of a busy day.            , Calmness     ,2023-02-18 09:30:00, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15.0,30.0, India     ,2023,2,18,9,Neutral,finding calmness midst busy day,"['finding', 'calmness', 'midst', 'busy', 'day']",0.1,0.3,Positive
72,74, Confusion clouds my mind as I navigate through decisions., Confusion    ,2023-02-18 14:20:00, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25.0,50.0, UK   ,2023,2,18,14,Neutral,confusion cloud mind navigate decision,"['confusion', 'cloud', 'mind', 'navigate', 'decision']",0.0,0.0,Neutral
73,75, Excitement building up for the upcoming vacation!       , Excitement   ,2023-02-18 18:45:00, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22.0,45.0, Canada    ,2023,2,18,18,Positive,excitement building upcoming vacation,"['excitement', 'building', 'upcoming', 'vacation']",0.0,0.0,Neutral
74,76, Kindness witnessed today restored my faith in humanity. , Kind         ,2023-02-19 11:30:00, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20.0,40.0, USA       ,2023,2,19,11,Neutral,kindness witnessed today restored faith humanity,"['kindness', 'witnessed', 'today', 'restored', 'faith', 'humanity']",0.0,0.0,Neutral
75,77, Pride in achieving a personal milestone.               , Pride        ,2023-02-19 16:00:00, PersonalAchiever, Instagram , #Pride #Milestone                           ,30.0,60.0, Australia    ,2023,2,19,16,Neutral,pride achieving personal milestone,"['pride', 'achieving', 'personal', 'milestone']",0.0,0.3,Neutral
76,78, A moment of shame for not standing up against injustice. , Shame        ,2023-02-19 19:45:00, ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15.0,30.0, India      ,2023,2,19,19,Negative,moment shame standing injustice,"['moment', 'shame', 'standing', 'injustice']",0.0,0.0,Neutral
77,79, Fuming with anger after a heated argument.            , Anger        ,2023-02-20 09:30:00, AngryDebater    , Twitter  , #Anger #Argument                             ,20.0,40.0, Canada     ,2023,2,20,9,Negative,fuming anger heated argument,"['fuming', 'anger', 'heated', 'argument']",-0.7,0.2,Negative
78,80, The fear of the unknown is keeping me up at night.    , Fear         ,2023-02-20 21:15:00, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15.0,30.0, USA          ,2023,2,20,21,Negative,fear unknown keeping night,"['fear', 'unknown', 'keeping', 'night']",-0.1,0.6,Negative
79,81, Heartfelt sadness after bidding farewell to a dear friend. , Sadness      ,2023-02-21 14:45:00, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25.0,50.0, India      ,2023,2,21,14,Negative,heartfelt sadness bidding farewell dear friend,"['heartfelt', 'sadness', 'bidding', 'farewell', 'dear', 'friend']",0.0,1.0,Neutral
80,82, The state of corruption in our society is utterly disgusting. , Disgust      ,2023-02-21 18:20:00, AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18.0,35.0, UK         ,2023,2,21,18,Negative,state corruption society utterly disgusting,"['state', 'corruption', 'society', 'utterly', 'disgusting']",-1.0,1.0,Negative
81,83, Overflowing happiness: welcoming a new family member!  , Happiness    ,2023-02-22 10:00:00, NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30.0,60.0, UK           ,2023,2,22,10,Neutral,overflowing happiness welcoming new family member,"['overflowing', 'happiness', 'welcoming', 'new', 'family', 'member']",0.4352272727272727,0.32727272727272727,Positive
82,84, Laughter is the key to joy—attending a stand-up comedy show. , Joy          ,2023-02-22 19:30:00, StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22.0,45.0, Canada    ,2023,2,22,19,Positive,laughter key joyattending standup comedy show,"['laughter', 'key', 'joyattending', 'standup', 'comedy', 'show']",0.0,1.0,Neutral
83,85, Sending love to all my followers on this beautiful day! ❤️ , Love         ,2023-02-23 08:30:00, LoveSender      , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,23,8,Positive,sending love follower beautiful day,"['sending', 'love', 'follower', 'beautiful', 'day']",0.75,0.8,Positive
84,86, Amused by the antics of my pet—it's pure amusement!      , Amusement    ,2023-02-23 14:20:00, PetAmuser       , Instagram , #Amusement #PetAntics                       ,18.0,35.0, UK           ,2023,2,23,14,Neutral,amused antic petits pure amusement,"['amused', 'antic', 'petits', 'pure', 'amusement']",0.26785714285714285,0.5,Positive
85,87, Enjoying every moment of this trip—pure enjoyment!      , Enjoyment    ,2023-02-23 19:45:00, TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25.0,50.0, USA ,2023,2,23,19,Positive,enjoying every moment trippure enjoyment,"['enjoying', 'every', 'moment', 'trippure', 'enjoyment']",0.625,0.6,Positive
86,88, Admiring the dedication of volunteers at a local charity. , Admiration   ,2023-02-24 11:30:00, CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20.0,40.0, USA        ,2023,2,24,11,Positive,admiring dedication volunteer local charity,"['admiring', 'dedication', 'volunteer', 'local', 'charity']",0.0,0.0,Neutral
87,89, Sending affectionate vibes to friends and family.        , Affection    ,2023-02-24 16:00:00, FamilyLover     , Instagram , #Affection #FamilyLove                      ,15.0,30.0,USA,2023,2,24,16,Neutral,sending affectionate vibe friend family,"['sending', 'affectionate', 'vibe', 'friend', 'family']",0.0,0.0,Neutral
88,90, Awe-struck by the beauty of the night sky.               , Awe          ,2023-02-24 20:30:00, Stargazer       , Facebook , #Awe #StarryNight                        ,22.0,45.0, Australia ,2023,2,24,20,Neutral,awestruck beauty night sky,"['awestruck', 'beauty', 'night', 'sky']",0.0,0.0,Neutral
89,91, Disappointed with the lack of progress in a personal project. , Disappointed ,2023-02-25 09:00:00, ProjectStruggle , Twitter  , #Disappointed #Project                     ,18.0,35.0, India      ,2023,2,25,9,Neutral,disappointed lack progress personal project,"['disappointed', 'lack', 'progress', 'personal', 'project']",-0.375,0.525,Negative
90,92, A surprise visit from an old friend brought tears of joy. , Surprise     ,2023-02-25 14:45:00, JoyfulReunion   , Instagram , #Surprise #OldFriends                       ,25.0,50.0, USA          ,2023,2,25,14,Neutral,surprise visit old friend brought tear joy,"['surprise', 'visit', 'old', 'friend', 'brought', 'tear', 'joy']",0.45,0.2,Positive
91,93, Embracing acceptance of life's ups and downs.           , Acceptance   ,2023-02-25 18:20:00, LifeAcceptance  , Facebook , #Acceptance #LifeJourney                   ,15.0,30.0, Canada     ,2023,2,25,18,Neutral,embracing acceptance life ups down,"['embracing', 'acceptance', 'life', 'ups', 'down']",0.0,0.0,Neutral
92,94, Overflowing adoration for a cute rescue puppy! 🐶       , Adoration    ,2023-02-26 10:45:00, PuppyAdmirer    , Twitter  , #Adoration #PuppyLove                       ,22.0,45.0, UK         ,2023,2,26,10,Neutral,overflowing adoration cute rescue puppy,"['overflowing', 'adoration', 'cute', 'rescue', 'puppy']",0.625,1.0,Positive
93,95, Anticipating the release of a much-awaited movie.       , Anticipation ,2023-02-26 07:30:00, MovieBuff2      , Instagram , #Anticipation #MovieRelease                 ,20.0,40.0, Australia    ,2023,2,26,7,Neutral,anticipating release muchawaited movie,"['anticipating', 'release', 'muchawaited', 'movie']",0.0,0.0,Neutral
